,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
3237,Commissariat de police de Bois-Colombes,police,"SRID=3857;POLYGON((253095.47106598 6261326.88814772,253118.124582356 6261313.11531151,253118.491936676 6261313.75905982,253134.911561568 6261303.42521141,253147.156705555 6261325.85476071,253104.087194567 6261345.06561531,253099.422907903 6261335.47712334,253098.643671468 6261335.81593913,253097.40802512 6261333.34258421,253098.187261555 6261332.90212382,253095.47106598 6261326.88814772))",POINT (2.273825758967402 48.92015970246273),,,,,,police
3251,Commissariat de police de Sevran,police,"SRID=3857;POLYGON((281679.099168409 6264526.19866667,281686.590970139 6264523.87690342,281684.854386083 6264518.26739047,281712.762182425 6264509.6412887,281710.713903794 6264503.01495716,281723.270742356 6264499.13406463,281730.684620442 6264493.43983252,281747.03745364 6264546.24720353,281727.155792584 6264552.39904644,281724.294881671 6264543.14586294,281699.526294969 6264550.8060068,281697.956690149 6264545.7726814,281686.268143616 6264549.38243972,281683.128933975 6264539.24800479,281679.099168409 6264526.19866667))",POINT (2.530687186202997 48.93906219674205),5-7,Rue Gabriel Péri,93270,Sevran,,police
3261,Poste de Police du Val d'Argent Nord,police,,POINT (2.227431300000005 48.95251759970413),,,,,,police
3262,Commissariat de police de Vincennes,police,,POINT (2.438091199999988 48.84647649973044),23,Rue Raymond du Temple,94300,Vincennes,,police
3264,,police,"SRID=3857;POLYGON((259626.173708705 6239927.72260379,259640.689770305 6239920.54094703,259652.923782343 6239945.38105628,259674.987305418 6239935.19153327,259680.831578685 6239947.78058089,259687.05433822 6239961.19765357,259670.289622907 6239966.53745162,259664.545537182 6239969.37633297,259650.307774309 6239976.40594802,259645.509904256 6239978.73788891,259637.450373123 6239962.17774283,259641.914284704 6239959.87960267,259626.173708705 6239927.72260379))",POINT (2.332522215630989 48.7938331537303),,,,,,police
3294,Brigade de gendarmerie de Montsoult,gendarmerie,,POINT (2.318663099999972 49.06784259967558),,,,,,police
3295,,police_municipale,"SRID=3857;POLYGON((245700.929174699 6276962.96094557,245712.617721232 6276955.15377024,245714.844111048 6276958.8876358,245719.397078221 6276955.81568265,245720.632724569 6276954.98404911,245718.072376281 6276946.66771828,245728.759047397 6276943.44302077,245735.505008539 6276953.72811291,245736.21745328 6276954.814328,245736.774050734 6276955.66293363,245728.870366888 6276961.09401168,245729.983561796 6276962.79122429,245721.189322023 6276968.56174971,245722.413836422 6276970.25896382,245710.836609379 6276977.89643153,245700.929174699 6276962.96094557))",POINT (2.207332176543763 49.01236954265549),,,,,,police
3298,Commissariat de police de Nogent-sur-Marne,police,,POINT (2.483503699999992 48.83635459973289),,,,,,police
3304,Commissariat de police de Paris 3ème arrondissement,police,,POINT (2.351995000000041 48.86327359972626),4,Rue aux Ours,75003,Paris,,police
3310,Brigade de gendarmerie de Roissy-en-France,gendarmerie,"SRID=3857;POLYGON((279200.336934966 6275246.94754882,279485.960484443 6275179.42943336,279509.21512607 6275176.23934725,279527.694161542 6275257.17967019,279493.541341766 6275268.3111463,279502.20199815 6275320.25257246,279384.258997655 6275345.04406809,279385.461248155 6275350.71167552,279309.018153827 6275362.35234224,279260.082105675 6275382.03630494,279246.389808307 6275347.67424472,279234.478622792 6275318.86112859,279225.56193158 6275311.59847406,279200.336934966 6275246.94754882))",POINT (2.509615204134142 49.00244111770016),,,,,,police
3311,Brigade de gendarmerie de Dourdan,gendarmerie,"SRID=3857;POLYGON((222726.233803431 6195382.42860487,222726.267199278 6195379.15072464,222726.578893852 6195375.94008421,222727.235678848 6195372.61177761,222728.148498673 6195368.71194527,222729.15037409 6195365.58535683,222730.141117558 6195363.29924989,222731.933361359 6195360.25671145,222734.237674819 6195357.14693572,222737.766502677 6195354.33973374,222740.838920623 6195352.49067904,222746.182256181 6195350.4062906,222750.212021748 6195349.41452531,222754.931968157 6195348.48999844,222759.997004988 6195348.20423562,222754.408766551 6195368.57746832,222752.23803648 6195368.05637018,222742.697956119 6195403.35663913,222744.701706954 6195404.01221694,222743.510588402 6195408.31549816,222740.315719016 6195405.82766344,222737.031794038 6195403.00363571,222734.026167786 6195399.82660565,222732.055812799 6195397.28834438,222729.918478576 6195393.84236175,222728.471325196 6195391.10238632,222727.45831783 6195388.58093731,222726.623421649 6195385.35348367,222726.233803431 6195382.42860487))",POINT (2.000916660112669 48.52933941795651),,,,,,police
3328,Commissariat de police de Plaisir,police,"SRID=3857;POLYGON((218451.097815108 6244183.0875279,218452.700815775 6244152.52061521,218469.532322783 6244152.588241,218469.521190834 6244157.69398981,218503.540427221 6244167.36448935,218504.27513586 6244164.00010102,218505.110032041 6244160.14542658,218512.590701822 6244160.12852012,218512.635229618 6244152.84183773,218546.676729903 6244152.90946352,218544.105249666 6244162.64758348,218541.166415109 6244162.59686407,218541.133019261 6244165.01448932,218577.835055376 6244165.35261878,218577.656944191 6244182.63105218,218558.955269737 6244183.17206045,218558.476595927 6244185.1163092,218559.600922784 6244185.42062643,218557.574908052 6244193.41741105,218537.247969033 6244188.19329508,218537.259100982 6244183.0875279,218532.56141847 6244183.0875279,218532.594814318 6244180.6698975,218521.20683041 6244180.686804,218521.151170664 6244205.77609302,218508.405088968 6244205.75918646,218508.416220917 6244192.30158018,218502.527419854 6244192.26776713,218502.516287905 6244184.52458127,218495.402972444 6244182.4619871,218479.261646279 6244186.62098897,218480.619744066 6244182.25910902,218451.097815108 6244183.0875279))",POINT (1.962936953055336 48.81881325131449),889,Avenue François Mitterrand,78370,Plaisir,,police
3339,,police_municipale,,POINT (2.702065399999972 48.40469979983961),,,,,,police
3360,,police_municipale,,POINT (2.345482300000035 48.75081139975418),35,Place Louis XIII,94150,Rungis,,police
3392,,,,POINT (2.366286899999965 48.82485889973575),,,,,,police
3394,Peloton motorisé de Mantes-la-Jolie,gendarmerie,,POINT (1.70175349999999 48.99247309969422),,,,,,police
3411,Gendarmerie - Peloton d'autoroute de Nemours,gendarmerie,,POINT (2.71370420000002 48.26979659987259),,,77140,Nemours,,police
3414,,police_municipale,"SRID=3857;POLYGON((251331.713921902 6257613.65897108,251338.281771859 6257600.45097601,251347.521289595 6257605.03990529,251364.107893723 6257613.26950427,251364.519775839 6257613.48963768,251357.963057831 6257626.6976531,251347.242990868 6257621.36364439,251331.713921902 6257613.65897108))",POINT (2.257898603062938 48.89824657984037),,,,,,police
3432,,police_municipale,"SRID=3857;POLYGON((256086.904082322 6233404.0135117,256091.000639584 6233402.64582449,256089.241791629 6233396.66852742,256099.126962411 6233393.71365048,256102.021269172 6233403.96285661,256088.239916212 6233408.25165494,256086.904082322 6233404.0135117))",POINT (2.300538344341532 48.75505499671019),,,,,,police
3441,Commissariat de police d'Athis Mons,police,,POINT (2.382522600000034 48.7079272997648),21,Rue Jean-Baptiste de la Salle,91200,Athis-Mons,,police
3443,Gendarmerie - Brigade motorisée de Rambouillet;Gendarmerie - Brigade de Rambouillet,gendarmerie,"SRID=3857;POLYGON((202865.422888378 6215481.10530138,202888.1320645 6215464.64343466,202900.855882297 6215454.06202642,202908.247496486 6215448.08050371,202933.606076489 6215426.85034441,202936.589438842 6215423.95226329,202971.120744886 6215389.98413034,202979.692345677 6215389.68084404,203001.533229771 6215414.36501359,202999.930229103 6215418.5267885,203001.399646382 6215420.27911538,203007.600142019 6215427.70965935,203008.724468876 6215429.05760453,203013.722714013 6215428.06349494,203048.142700566 6215466.91810217,203037.68980038 6215475.056362,203022.472425989 6215486.53081614,202977.744254588 6215520.83632503,202974.46032961 6215523.39744912,203026.969733417 6215581.84857673,203040.951461461 6215595.51362881,203004.839418647 6215635.34628581,202989.009787057 6215620.65333814,202977.555011454 6215607.96552648,202903.638869567 6215525.38569074,202899.430992815 6215520.46563608,202865.422888378 6215481.10530138))",POINT (1.82326400364485 48.64893550610612),1,Rue Pasteur,78120,Rambouillet,,police
3447,,police_municipale,"SRID=3857;POLYGON((236098.175940399 6245753.62793546,236113.014828521 6245753.37429083,236128.610689182 6245753.10373656,236128.744272571 6245760.71307863,236128.855592061 6245766.88510555,236101.715900206 6245767.35857629,236101.738164104 6245768.77898868,236099.61196183 6245768.81280802,236099.600829881 6245768.17024048,236099.578565983 6245767.17256992,236098.409711329 6245767.18947959,236098.175940399 6245753.62793546))",POINT (2.121043025039664 48.82819801961487),,,,,,police
