,Nom,police-FR,geometry,numero_hab,rue,code_postal,ville,Adresse
4550,,police_municipale,POINT (2.673080744898271 48.76115666256435),6,Rue Jean Mermoz,,,
4555,Commissariat de police de Champigny-sur-Marne,police,POINT (2.550365000000026 48.80699069974022),,,,,
4556,,police,POINT (2.310625200000036 48.60456619979034),,,,,
4571,Gendarmerie - Brigade de Saint-Pierre-du-Perray,gendarmerie,POINT (2.497678465676834 48.61699172294032),,Chemin de Brie,91280,Saint-Pierre-du-Perray,
4574,,,POINT (2.343512499999986 48.85537309972818),,,,,
4596,,,POINT (2.344617300000001 48.86662649972544),,,,,
4625,,police,POINT (2.294398600000002 48.85772399972759),,,,,
4647,,gendarmerie,POINT (2.700353338959431 48.40953594645649),,Rue des Bois,,,
4658,,police_municipale,POINT (2.030389003227881 48.80107468703849),6,Avenue Paul Vaillant Couturier,78390,Bois-d'Arcy,
4660,,,POINT (2.424387228631102 48.73115061960311),,,,,
4673,Service de protection et de sécurisation - Direction de l'ordre public et de la circulation,,POINT (2.36230460000002 48.84136689973164),24-26,Boulevard de l'Hôpital,75005,Paris,
4686,Commissariat de police de Boissy-Saint-Léger,police,POINT (2.503634359671006 48.75402980870809),,,,,
4689,,police_municipale,POINT (2.851162700000045 48.88347629972122),,,,,
4696,Brigade de gendarmerie de Coulommiers,gendarmerie,POINT (3.087604057534806 48.81578362064717),27,,,,
4713,,police_municipale,POINT (2.394988300000019 48.755279799753),111,Rue du Pavé de Grignon,94320,Thiais,
4749,Gendarmerie - Brigade de Lardy,gendarmerie,POINT (2.252780564642352 48.51912566191416),36,Rue de la Roche qui Tourne,,,
4780,,,POINT (2.268811708208613 48.73642750579717),,,,,
4783,,,POINT (2.350887297358829 48.85411173901912),,,,,
4801,,police_municipale,POINT (2.700697400000019 48.87686479972287),,,,,
4818,,police_municipale,POINT (2.246618600000025 48.90735219971531),,,,,
4820,,police_municipale,POINT (2.084244399999982 48.72401189976078),,,,,
4837,,police_municipale,POINT (2.538722197381508 48.95452823143732),,,,,
4844,,police_municipale,POINT (2.187731100000015 48.69943459976686),,,,,
4847,Police municipale intercommunale,police_municipale,POINT (2.188385785869854 48.48975295402311),,,,,
4852,Gendarmerie - Brigade motorisée d'Étampes,gendarmerie,POINT (2.148768300000017 48.44149499983056),76,Avenue du 8 Mai 1945,91150,Étampes,
4877,Commissariat de police de La Défense,police,POINT (2.242211699999997 48.89129899971929),,,,,
4880,,police,POINT (2.301226099999992 48.81987119973702),,,,,
4886,Brigade de gendarmerie de Limay,gendarmerie,POINT (1.736632514380144 48.9949982317766),,,,,
4887,Commissariat de police de Maisons-Laffitte,police,POINT (2.144914800000034 48.94647549970558),10,Rue Jean Mermoz,78600,Maisons-Laffitte,
4895,,police_municipale,POINT (2.249723700000006 48.58715969979468),16,Boulevard Abel Cornaton,91290,Arpajon,
4902,Commissariat de police des Lilas,police,POINT (2.414826499999972 48.8824468997215),,,,,
4908,,,POINT (2.42548843305556 48.81803194021069),47,Rue du Maréchal Leclerc,94410,Saint-Maurice,
